,ID,Gender,DoB,ROI1,ROI2,ROI3,Valid,Valid Freeviewing
343,20230324134638578,MALE,1997,Mermaid,SwimmingMan,Pierce,True,True
344,20230324135155728,MALE,1965,Mermaid,WomanOnBoat,BoatSunset,True,True
345,20230324140540468,MALE,1981,BoatSunset,Mermaid,Pierce,True,True
346,20230324141708139,FEMALE,2004,Mermaid,BoatSunset,Octopus,True,True
347,20230324143859914,MALE,2009,Pierce,Man,BoatSunset,False,True
348,20230324144712257,MALE,1998,Spaceship,BoatSunset,Man,True,True
349,20230324145117301,OTHER,1979,WomanOnBoat,Man,Turtle,True,True
350,20230324145514655,FEMALE,1981,WomanOnBoat,BoatSunset,Turtle,True,True
351,20230324145840811,FEMALE,2013,Mermaid,Spaceship,Man,True,True
352,20230324151154686,OTHER,2006,WomanOnBoat,Man,Mermaid,True,True
353,20230324154810442,FEMALE,2000,WomanOnBoat,BoatSunset,Octopus,True,False
354,20230324155245800,MALE,2000,Woman,Pierce,WomanOnBoat,True,True
355,20230324160333096,FEMALE,1996,Elephant,Turtle,WomanOnBoat,False,True
356,20230324161156016,FEMALE,1997,Pierce,BoatSunset,Mermaid,True,True
357,20230324162626035,FEMALE,1991,Turtle,Mermaid,WomanOnBoat,True,True
358,20230324165536549,MALE,1991,Turtle,Woman,Mermaid,True,True
359,20230325102842039,MALE,1987,Spaceship,Elephant,Man,True,True
360,20230325103805568,FEMALE,1973,BoatSunset,Spaceship,WomanOnBoat,True,False
361,20230325104153513,MALE,1971,WomanOnBoat,Woman,Mermaid,True,True
362,20230325112117056,MALE,1983,WomanOnBoat,Woman,Pierce,True,True
363,20230325112549962,FEMALE,1993,BoatSunset,Man,WomanOnBoat,True,True
364,20230325114508402,MALE,1989,Mermaid,WomanOnBoat,BoatSunset,True,True
365,20230325120157210,MALE,1970,Woman,Octopus,Mermaid,False,True
366,20230325120532742,FEMALE,2000,Pierce,BoatSunset,WomanOnBoat,True,True
367,20230325121038914,FEMALE,1996,Man,Woman,BoatSunset,True,True
368,20230325122632767,FEMALE,1992,FatherSonBoat,Elephant,WomanOnBoat,True,True
369,20230325123021746,MALE,2005,Turtle,Octopus,Elephant,True,False
370,20230325125904633,MALE,1985,Woman,Mermaid,Man,True,True
371,20230325130745887,FEMALE,2003,SwimmingMan,Woman,Octopus,True,True
372,20230325131527547,OTHER,2008,Spaceship,WomanOnBoat,BoatSunset,True,True
373,20230325132311778,FEMALE,1986,WomanOnBoat,Spaceship,BoatSunset,True,True
374,20230325132947189,FEMALE,2000,Man,Mermaid,Pierce,True,True
375,20230325133321720,MALE,1999,Spaceship,BoatSunset,Mermaid,True,True
376,20230325133801616,FEMALE,2001,FatherSonBoat,Spaceship,Clouds,True,True
377,20230325135139200,OTHER,1987,Man,SwimmingMan,Woman,False,False
378,20230325135708913,MALE,1988,Mermaid,BoatSunset,WomanOnBoat,True,False
379,20230325140144888,FEMALE,1987,Turtle,Octopus,Spaceship,True,True
380,20230325140839469,FEMALE,1974,Spaceship,Clouds,FatherSonBoat,False,False
381,20230325142205040,FEMALE,1998,Elephant,Woman,Turtle,True,True
382,20230325143154479,FEMALE,1978,Woman,Mermaid,Pierce,True,True
383,20230325145706772,MALE,2004,Turtle,BoatSunset,WomanOnBoat,False,False
384,20230325150736151,FEMALE,1999,Pierce,Spaceship,FatherSonBoat,True,True
385,20230325151229293,MALE,1993,Turtle,WomanOnBoat,Octopus,True,False
386,20230325151755602,MALE,1995,Spaceship,Turtle,WomanOnBoat,True,True
387,20230325152121675,FEMALE,1997,Spaceship,BoatSunset,WomanOnBoat,True,True
388,20230325152624127,FEMALE,2000,Mermaid,BoatSunset,Pierce,False,True
389,20230325155338859,MALE,1988,Pierce,FatherSonBoat,BoatSunset,True,True
390,20230325155712022,MALE,1988,WomanOnBoat,Pierce,FatherSonBoat,True,True
391,20230325160808227,FEMALE,1979,BoatSunset,Man,WomanOnBoat,True,False
392,20230325162526164,FEMALE,1983,Turtle,Mermaid,WomanOnBoat,False,True
393,20230325163109156,MALE,2001,SwimmingMan,FatherSonBoat,Mermaid,True,True
394,20230325163659040,FEMALE,1982,Pierce,Clouds,Mermaid,True,True
395,20230325164218441,FEMALE,1999,Pierce,Mermaid,Turtle,False,True
396,20230325164732739,MALE,1998,Man,Turtle,BoatSunset,True,True
397,20230325165133029,FEMALE,2000,Clouds,FatherSonBoat,Pierce,True,True
398,20230326094307984,FEMALE,1997,Elephant,SwimmingMan,WomanOnBoat,False,True
399,20230326094810086,MALE,1981,Woman,Pierce,WomanOnBoat,True,True
400,20230326101421070,OTHER,1999,Turtle,Pierce,FatherSonBoat,True,True
401,20230326101923972,OTHER,2002,Octopus,Elephant,SwimmingMan,True,False
402,20230326103632297,FEMALE,1993,Woman,Man,WomanOnBoat,False,True
403,20230326105834634,FEMALE,1994,FatherSonBoat,Woman,Mermaid,True,False
404,20230326110231719,FEMALE,2000,Pierce,Mermaid,BoatSunset,True,True
405,20230326110743431,OTHER,1994,Mermaid,Woman,Octopus,True,True
406,20230326111103330,OTHER,2000,Elephant,Spaceship,WomanOnBoat,False,True
407,20230326113054686,MALE,2005,Turtle,WomanOnBoat,BoatSunset,False,True
408,20230326113448635,MALE,1997,Spaceship,WomanOnBoat,BoatSunset,True,True
409,20230326113908061,MALE,1999,Man,WomanOnBoat,Mermaid,True,False
410,20230326114615270,FEMALE,1978,Pierce,BoatSunset,WomanOnBoat,True,True
411,20230326115530791,MALE,2012,Spaceship,SwimmingMan,FatherSonBoat,True,True
412,20230326120508367,MALE,1988,Turtle,Mermaid,Spaceship,True,True
413,20230326121338693,MALE,1996,WomanOnBoat,Turtle,Octopus,True,True
414,20230326121731625,MALE,1972,Man,Mermaid,Pierce,True,True
415,20230326122704981,OTHER,1979,Spaceship,Turtle,BoatSunset,True,True
416,20230326123055728,FEMALE,1979,Pierce,Woman,Spaceship,True,True
417,20230326124627991,FEMALE,2014,Woman,Elephant,Spaceship,False,True
418,20230326125206562,FEMALE,2000,Mermaid,Turtle,Octopus,True,False
419,20230326131311941,OTHER,2000,WomanOnBoat,BoatSunset,SwimmingMan,True,True
420,20230326132411065,FEMALE,2001,Turtle,Pierce,Elephant,True,True
421,20230326132928882,MALE,1989,Woman,Elephant,WomanOnBoat,True,True
