ID,x,y,Order
20230314123253718,848.78,829.03,6
20230314123253718,825.59,924.95,7
20230314123253718,1145.64,112.77,8
20230314123253718,1547.13,109.92,9
20230314123253718,1385.43,162.36,10
20230314123253718,1697.62,131.47,11
20230314123253718,1370.08,155.71,12
20230314123253718,1346.67,746.28,13
20230314123253718,1647.46,630.48,14
20230314123253718,1731.34,665.2,15
20230314123253718,1697.63,705.25,16
20230314123253718,1244.06,453.07,17
20230314123253718,1038.64,441.86,18
20230314124034378,997.92,207.44,1
20230314124034378,1344.53,800.74,2
20230314124034378,1180.07,814.3,3
20230314124034378,1007.17,752.55,4
20230314124034378,918.99,735.45,5
20230314124034378,759.14,46.01,6
20230314124034378,521.84,123.73,7
20230314124034378,347.95,787.38,8
20230314124034378,1556.52,166.9,9
20230314124034378,1654.48,173.39,10
20230314124034378,1448.82,174.0,11
20230314124034378,1510.26,212.81,12
20230314124034378,1335.47,110.77,13
20230314124034378,1189.72,108.42,14
20230314124034378,769.14,51.97,15
20230314124034378,643.78,66.83,16
20230314124034378,499.13,143.93,17
20230314124034378,367.25,110.14,18
20230314131032390,1253.51,836.06,1
20230314131032390,1344.03,909.07,2
20230314131032390,1416.3,276.15,3
20230314131032390,1495.17,247.88,4
20230314131032390,1020.23,157.95,5
20230314131032390,381.55,131.2,6
20230314131032390,287.33,183.29,7
20230314131032390,1696.26,167.9,8
20230314131032390,1769.16,133.15,9
20230314131032390,1517.6,247.39,10
20230314131032390,1690.66,596.77,11
20230314131032390,1798.11,707.22,12
20230314131032390,1828.67,585.49,13
20230314131032390,1700.31,475.62,14
20230314131032390,1256.51,626.89,15
20230314131032390,1289.94,961.25,16
20230314131032390,282.86,922.18,17
20230314131032390,341.67,1019.19,18
20230314133006580,933.01,918.92,1
20230314133006580,1289.04,902.64,2
20230314133006580,1446.44,903.75,3
20230314133006580,1751.49,176.87,4
20230314133006580,1561.0,248.06,5
20230314133006580,1831.95,95.35,6
20230314133006580,1014.55,87.95,7
20230314133006580,625.38,20.31,8
20230314133006580,445.58,513.24,9
20230314133006580,918.43,907.55,10
20230314133006580,1299.78,889.25,11
20230314133006580,1386.25,47.43,12
20230314133006580,1785.29,621.22,13
20230314133006580,1288.43,757.17,14
20230314133006580,1730.96,473.86,15
20230314133006580,1230.82,430.23,16
20230314133006580,1152.96,531.71,17
20230314133006580,1474.42,211.62,18
20230314134003042,786.33,5.54,1
20230314134003042,595.26,89.39,2
20230314134003042,539.12,143.46,3
20230314134003042,476.81,491.09,4
20230314134003042,420.61,867.92,5
20230314134003042,572.78,918.65,6
20230314134003042,1836.29,565.86,8
20230314134003042,1648.62,533.55,9
20230314134003042,1277.63,484.75,10
20230314134003042,596.45,456.93,11
